timestamp,tweet_text,all_hashtags,followers_count,sentaiment_score
4/29/2020 23:58,"b'#HealthcareHeroes we love you. THANK YOU FOR ALL YOU DO AND ARE DOING IN THIS FIGHT AGAINST #CoronavirusUSA YOUR #CourageIsBeautiful God bless you, you are in our prayers.'","['HealthcareHeroes', 'CoronavirusUSA', 'CourageIsBeautiful']",79,0.5
4/29/2020 23:57,"b'When you can finally cook for your family and your kids put in their request. Then they say,  ""Mama, I\'m glad you\'re not sick anymore, this my favorite"".. lol #COVID19 #CoronavirusUSA #covidsurvivor #lovemyfamily'","['COVID19', 'CoronavirusUSA', 'covidsurvivor', 'lovemyfamily']",312,0.431428571
4/29/2020 23:56,b'In support of our #HealthcareHeroes treating #COVID19 patients. FREE group memberships. Entire course library + #COVID specific content. Form:https://t.co/5L6mQcoGAD #NursesCOVID19 #COVIDfoam #FOAMed #medtwitter #EmergencyMedicine #FirstResponders #coronavirususa #doctors #nurses',"['HealthcareHeroes', 'COVID19', 'COVID', 'NursesCOVID19', 'COVIDfoam', 'FOAMed', 'medtwitter', 'EmergencyMedicine', 'FirstResponders', 'coronavirususa', 'doctors', 'nurses']",65,0.133333333
4/29/2020 23:55,b'Who is behind the #coronavirus social distancing protests? https://t.co/NBKIn8tSUX #CoronavirusUSA #CoronavirusPandemic #COVID19 #VoteHimOUT #VoteBlueToEndThisNightmare #VoteBlue2020 #WakeUpAmerica #WakeUP',"['coronavirus', 'CoronavirusUSA', 'CoronavirusPandemic', 'COVID19', 'VoteHimOUT', 'VoteBlueToEndThisNightmare', 'VoteBlue2020', 'WakeUpAmerica', 'WakeUP']",1432,-0.183333333
4/29/2020 23:55,b'#CoronavirusUSA  Tonights stats - https://t.co/nNZh9txKFy',['CoronavirusUSA'],7230,0
4/29/2020 23:54,"b'I really cannot wait until everything goes back to normal. Though at the moment, I can\xe2\x80\x99t even remember what normal is... #momlife #workingmom #EssentialWorker #mainelife #CoronavirusUSA'","['momlife', 'workingmom', 'EssentialWorker', 'mainelife', 'CoronavirusUSA']",20,0.125
4/29/2020 23:53,"b'""Susan Rice: Kushner's comment would be laughable if it weren't deadly serious... https://t.co/6Wsv5apc4Y via @YouTube #COVID19 #Coronavirus #COVID19US #CoronavirusPandemic #CoronavirusLockdown #CoronavirusUSA #CoronavirusOutbreak""","['COVID19', 'Coronavirus', 'COVID19US', 'CoronavirusPandemic', 'CoronavirusLockdown', 'CoronavirusUSA', 'CoronavirusOutbreak']",13241,-0.416666667
4/29/2020 23:52,"b'""\xf0\x9f\xa4\xa8......don't they have schools in America, some incredibly dumb people here #USA #howmanybodies #Covid19usa #CoronavirusUSA #TrumpLiesAmericansDie https://t.co/ezw7FNVmbm""","['USA', 'howmanybodies', 'Covid19usa', 'CoronavirusUSA', 'TrumpLiesAmericansDie']",8738,-0.375
4/29/2020 23:50,"b'Here is my CONNECTICUT COVID-19 UPDATE for Wednesday, April 29, 2020. Please stay safe and healthy as we work together through this pandemic. #CoronaVirusCT #CoronaVirusUSA #HopesAndPrayers https://t.co/7OUO1gIHLK'","['CoronaVirusCT', 'CoronaVirusUSA', 'HopesAndPrayers']",820,0.5
4/29/2020 23:49,b'I am really wishing I had a source of information about the pandemic I trusted and believe. Wait I do.. @rckmn6 #CoronavirusUSA #allinillinois',"['CoronavirusUSA', 'allinillinois']",229,0.2
4/29/2020 23:47,b'new news of #coronavirus  https://t.co/Fb9moYpEDT #Covid_19 #Covid19UK #CoronavirusUSA #USA #Ukraine #ChineseVirusCorona https://t.co/VtzjOa76lQ',"['coronavirus', 'Covid_19', 'Covid19UK', 'CoronavirusUSA', 'USA', 'Ukraine', 'ChineseVirusCorona']",1,0.136363636
4/29/2020 23:47,b'I jus wanna do sum simple shit go to mall buy a pair jeans an get a pretzel #CoronavirusUSA',['CoronavirusUSA'],1249,-0.1
4/29/2020 23:45,b'\xf0\x9f\x98\xb7\xf0\x9f\x92\x94\xf0\x9f\x87\xba\xf0\x9f\x87\xb8I love how conservatives are alarmed at this but not the major public companies receiving massive bailout loans &amp; grants. Do y\xe2\x80\x99all really think these ppl just want to stay home &amp; collect? This is pathetic. The GOP bailout billionaires but cry foul on this? #CoronavirusUSA https://t.co/CkzdTB1D6S',['CoronavirusUSA'],3120,-0.039583333
4/29/2020 23:44,"b'UPDATE #coronavirusUSA 60,316 U.S.  #coronavirus deaths. 2,000 more in the last 24 hours. The 60,316 deaths (in only a few months) is more than all American deaths in the Vietnam War'","['coronavirusUSA', 'coronavirus']",282,0.133333333
4/29/2020 23:41,"b'""#CoronavirusUSA  Trump reveals plans to bring back his 25,000 people rallies as he says he will travel to Arizona and Ohio, says of the virus it's going to leave.  This is all to feed his ego and anyone who goes to one of these rallies is a fool.""",['CoronavirusUSA'],2072,0
4/29/2020 23:41,"b'Beloved Brooklyn teacher, 30, dies of coronavirus after she was twice denied a COVID-19 test - ABC News Failure of leadership by the Federal, state and city governments. Another instance where your ZIP Code determines your health outcome! #CoronavirusUSA  https://t.co/dUgJquMThv'",['CoronavirusUSA'],4235,0.152083333
4/29/2020 23:40,b'@NBCNews So #Trumps  has dumped his shares of #hydroxychloroquine and has bought shares in #remdesivir instead?  #coronavirus  #CODVID19  #CoronavirusUSA',"['Trumps', 'hydroxychloroquine', 'remdesivir', 'coronavirus', 'CODVID19', 'CoronavirusUSA']",291,0
4/29/2020 23:40,"b'""After another week matching within a few % of the prior week's cases, and Italy doing the same thing, I think conservatively we're looking at 110k deaths in the US by end of May.  #CoronavirusUSA #coronavirus #CoronaVirusUpdate""","['CoronavirusUSA', 'coronavirus', 'CoronaVirusUpdate']",619,-0.066666667
4/29/2020 23:39,b'The #Patriots end game \xf0\x9f\x87\xba\xf0\x9f\x87\xb8\xe2\x9c\x8a\xf0\x9f\x87\xba\xf0\x9f\x87\xb8 https://t.co/nl2xhSuUra  #Trump #congress #politics #news #CoronavirusUSA #COVIDreliefIRS #COVID #COVID\xe3\x83\xbc19 #LockdownEnd #EndTheShutdown #RENTRELIEF #OuterBanks #NYCoronavirus #nyc #nj #pa #ny #fl #FlattenTheCurve #WWG1WWGA #QAnon #QuedateEnCasa',"['Patriots', 'Trump', 'congress', 'politics', 'news', 'CoronavirusUSA', 'COVIDreliefIRS', 'COVID', 'COVIDー19', 'LockdownEnd', 'EndTheShutdown', 'RENTRELIEF', 'OuterBanks', 'NYCoronavirus', 'nyc', 'nj', 'pa', 'ny', 'fl', 'FlattenTheCurve', 'WWG1WWGA', 'QAnon', 'QuedateEnCasa']",602,-0.4
4/29/2020 23:37,b'No one is talking about the people in the cages #PeopleFirst #CoronavirusUSA',"['PeopleFirst', 'CoronavirusUSA']",119,0
4/29/2020 23:36,"b'A genuine feel good track of the day  In 1986 I started getting into Electro Breakdance Hip Hop, then this little known ""funk"" track got me into Soul / Funk. I have it on vinyl  Rochelle - My Magic Man  #COVID19 #COVID\xe3\x83\xbc19 #CoronaVirusUK #CoronavirusUSA   https://t.co/15seRCkYgk https://t.co/1LGZOctB6x'","['COVID19', 'COVIDー19', 'CoronaVirusUK', 'CoronavirusUSA']",156,0.353125
4/29/2020 23:35,b'Perhaps Heparin for Blood Clotting with COVID-19? #COVID\xe3\x83\xbc19 #CoronavirusUSA #coronavirus',"['COVIDー19', 'CoronavirusUSA', 'coronavirus']",148,0
4/29/2020 23:32,"b'""Should rent be canceled because of the coronavirus? @YahooNews's 360\xc2\xb0 look at issues with opinions from throughout the political spectrum  #RentStrike #CoronavirusUSA   https://t.co/U1PzwtSXZf""","['RentStrike', 'CoronavirusUSA']",12461,0
4/29/2020 23:29,b'FAKE GOOD NEWS: Cautious optimism is contagious (just like a virus)  #TrumpsTheKingOf #WellnessWednesday #CoronavirusUSA #pandemic #pandumbic   https://t.co/8PcNv6vp3H',"['TrumpsTheKingOf', 'WellnessWednesday', 'CoronavirusUSA', 'pandemic', 'pandumbic']",15,0.1
